country,iso3,continent,year,pop,lifeExp,gdpPercap
Brunei,BRN,Asia,2023,458949,75.327,32962.90645259025
United States,USA,Americas,2023,336806231,79.304,81236.42760041455
Dominican Republic,DOM,Americas,2023,11331265,73.72,10717.627671220362
Greece,GRC,Europe,2023,10407351,81.857,22888.275088687573
Burkina Faso,BFA,Africa,2023,23025776,61.092,882.689809844743
Senegal,SEN,Africa,2023,18077573,68.683,1715.6056528819468
Cyprus,CYP,Asia,2023,1344976,81.648,23962.972327532323
East Timor,TLS,Asia,2023,1384286,67.689,1620.433139150154
Ireland,IRL,Europe,2023,5311538,82.412,102725.32181897882
Macao,MAC,Asia,2023,678800,83.075,69330.94242170961
Papua New Guinea,PNG,Oceania,2023,10389635,66.134,2977.245711691667
Japan,JPN,Asia,2023,124516650,84.712,33834.39210564533
Sierra Leone,SLE,Africa,2023,"8,460,512",,450.3075271283337
Switzerland,CHE,Europe,2023,8888822,83.954,99556.54441391773
Uruguay,URY,Americas,2023,3388081,78.138,22797.8113826579
Guatemala,GTM,Americas,2023,18124838,72.602,5630.421296104073
France,FRA,Europe,2023,68372286,83.325,44329.42449237248
Solomon Islands,SLB,Oceania,2023,800005,70.528,2039.0956320462449
Mauritania,MRT,Africa,2023,"5,022,441",68.484,2081.174684333387
Morocco,MAR,Africa,2023,37712505,75.313,3741.7130792402777
Peru,PER,Americas,2023,33845617,77.74,7906.585028579999
Zimbabwe,ZWE,Africa,2023,16340822,62.775,1624.0476457577313
Kenya,KEN,Africa,2023,55339003,63.646,1941.498220306707
Oman,OMN,Asia,2023,5049269,80.031,21427.35071894985
Philippines,PHL,Asia,2023,114891199,69.833,3804.872579752104
Madagascar,MDG,Africa,2023,31195932,63.632,513.9036370165037
Andorra,AND,Europe,2023,80856,84.041,46102.6218588505
Turks and Caicos Islands,TCA,Americas,2023,46198,78.008,30348.81144091389
Serbia,SRB,Europe,2023,6623183,76.769,11352.11354219528
Netherlands,NLD,Europe,2023,17877117,82.158,62545.0261295652
Guinea,GIN,Africa,2023,14405468,60.74,1639.1203547219775
Myanmar,MMR,Asia,2023,54133798,66.889,
Niger,NER,Africa,2023,26159867,61.183,642.9379178634706
Chad,TCD,Africa,2023,19319064,55.069,680.6398777258702
Seychelles,SYC,Africa,2023,119773,72.862,17879.23965450745
Chile,CHL,Americas,2023,19658835,81.167,17067.813615060055
Barbados,BRB,Americas,2023,282336,76.178,22645.23188546076
Moldova,MDA,Europe,2023,2457783,71.198,6729.41286813969
Saint Vincent and the Grenadines,VCT,Americas,2023,101323,71.23,10520.4441534791
North Macedonia,MKD,Europe,2023,1827816,77.395,8075.887858627837
Equatorial Guinea,GNQ,Africa,2023,1847549,63.707,6558.376822163403
Bolivia,BOL,Americas,2023,12244159,68.581,3744.629002809739
Namibia,NAM,Africa,2023,2963095,67.385,4168.285135558157
